scope,scope_value,model,n,p15_coverage,p50_coverage,p85_coverage,p15_pinball_loss,p50_pinball_loss,p85_pinball_loss,p50_mae,p50_bias,interval_coverage,interval_width,quantile_crossing_count,scoring_format,scoring_contract_version,position,season
season_position,"season=2025,position=TE",ffsimulator,1124,0.298932384341637,0.5462633451957295,0.8523131672597865,0.8077762455516014,1.984644128113879,1.5255165925266907,3.969288256227758,-1.218879003558719,0.7615658362989324,9.589182384341635,0,PPR,ppr_v1,TE,2025.0
season_position,"season=2025,position=WR",xgboost_v2,1892,0.3715644820295983,0.6670190274841438,0.892706131078224,1.2670781317605275,2.4524972896621287,1.7249708023535024,4.904994579324257,1.015715545806522,0.5211416490486258,11.682461264206541,0,PPR,ppr_v1,WR,2025.0
season_position,"season=2025,position=WR",ffsimulator,1892,0.2854122621564482,0.5946088794926004,0.8752642706131079,1.173679862579281,2.6625713530655397,1.9296320560253701,5.325142706131079,-0.2562949260042283,0.6802325581395349,13.530888477801268,0,PPR,ppr_v1,WR,2025.0
top_projected,all,xgboost_v2,4714,0.20046669495120917,0.5178192617734408,0.8362324989393296,1.49493560089054,2.938795029279485,1.9678679464418702,5.87759005855897,-0.6804139596727069,0.6357658039881204,13.935532109523457,0,PPR,ppr_v1,,
top_projected,all,ffsimulator,4714,0.12515910055154858,0.42935935511243106,0.797199830292745,1.5406016122189221,3.1606767076792535,2.1146450678829023,6.321353415358507,-2.4139244802715316,0.6784047518031396,14.50172231650403,0,PPR,ppr_v1,,
top_projected_position,position=QB,xgboost_v2,974,0.16427104722792607,0.473305954825462,0.8357289527720739,1.7199610019141398,3.1280182217572503,1.898552997301247,6.256036443514501,-0.7699359928851746,0.6714579055441479,14.979835029010655,0,PPR,ppr_v1,QB,
top_projected_position,position=QB,ffsimulator,974,0.16837782340862423,0.4917864476386037,0.8254620123203286,1.7687310061601642,3.2304466119096507,1.932827926078029,6.460893223819301,-0.5376283367556469,0.6570841889117043,15.665930184804928,0,PPR,ppr_v1,QB,
top_projected_position,position=RB,xgboost_v2,1360,0.1860294117647059,0.5014705882352941,0.8308823529411765,1.407325112161829,2.9038674706255687,2.003524214008275,5.807734941251137,-1.2791377108587938,0.6448529411764706,13.90453303075012,0,PPR,ppr_v1,RB,
top_projected_position,position=RB,ffsimulator,1360,0.11691176470588235,0.41911764705882354,0.7852941176470588,1.5204382720588234,3.2600220588235294,2.235277536764706,6.520044117647059,-3.0194411764705884,0.6713235294117647,14.546786764705883,0,PPR,ppr_v1,RB,
top_projected_position,position=TE,xgboost_v2,1020,0.2519607843137255,0.538235294117647,0.8294117647058824,1.234523199800183,2.4522527561468235,1.707373571293027,4.904505512293647,-0.4200927756814396,0.5774509803921568,10.929735080985463,0,PPR,ppr_v1,TE,
top_projected_position,position=TE,ffsimulator,1020,0.12549019607843137,0.403921568627451,0.7862745098039216,1.1969936274509805,2.6475833333333334,1.8736891666666666,5.295166666666667,-2.6325000000000003,0.6833333333333333,11.691944117647058,0,PPR,ppr_v1,TE,
top_projected_position,position=WR,xgboost_v2,1360,0.20220588235294118,0.5507352941176471,0.8470588235294118,1.6166974929392337,3.203112094640731,2.177224195871634,6.406224189281462,-0.21281752269408283,0.6448529411764706,15.472973780596957,0,PPR,ppr_v1,WR,
top_projected_position,position=WR,ffsimulator,1360,0.10220588235294117,0.4139705882352941,0.7970588235294118,1.655090036764706,3.3961838235294115,2.30494268382353,6.792367647058823,-2.988235294117647,0.6970588235294117,15.730213235294118,0,PPR,ppr_v1,WR,
