"player_id","player_name","position","team","week","n_simulations","mean","median","floor","ceiling","p15","p85","probability_zero","probability_active","active_mean","active_p15","active_p85"
"ReedJa01","Jayden Reed","WR","GB",1,100,10.7512,7.85,3.37,19.735,3.37,19.735,0.04,1,10.7512,3.37,19.735
"BurdLu00","Luther Burden III","WR","CHI",1,100,10.718,11.45,4.81,16.9,4.81,16.9,0.03,1,10.718,4.81,16.9
"NailJa00","Jalen Nailor","WR","LV",1,100,10.55,7.9,1.685,19.115,1.685,19.115,0.04,1,10.55,1.685,19.115
"JohnJu00","Juwan Johnson","TE","NO",1,100,10.412,9.45,2.5475,17.55,2.5475,17.55,0.03,1,10.412,2.5475,17.55
"EvanMi00","Mike Evans","WR","SF",1,100,10.3474,9.65,3.6,16.75,3.6,16.75,0.02,1,10.3474,3.6,16.75
"PierAl00","Alec Pierce","WR","IND",1,100,10.3462,8.53,3.558,16.479,3.558,16.479,0.02,1,10.3462,3.558,16.479
"GainKe00","Kenny Gainwell","RB","TB",1,100,10.311,9.4,3.3,16.9,3.3,16.9,0,1,10.311,3.3,16.9
"JoneAa00","Aaron Jones Sr.","RB","MIN",1,100,10.195,8.8,3.5,15.9,3.5,15.9,0,1,10.195,3.5,15.9
"AndrMa00","Mark Andrews","TE","BAL",1,100,10.1935,8.625,4.45,15.85,4.45,15.85,0,1,10.1935,4.45,15.85
"HendTr00","TreVeyon Henderson","RB","NE",1,100,10.183,7.9,2.5,15.965,2.5,15.965,0,1,10.183,2.5,15.965
"GodwCh00","Chris Godwin Jr.","WR","TB",1,100,10.131,7.4,3.8,17.06,3.8,17.06,0.04,1,10.131,3.8,17.06
"PollTo01","Tony Pollard","RB","TEN",1,100,10.114,8.6,3.485,17.7,3.485,17.7,0,1,10.114,3.485,17.7
"WashPa01","Parker Washington","WR","JAX",1,100,9.97,8.55,3.2,17.635,3.2,17.635,0.02,1,9.97,3.2,17.635
"LapoSa00","Sam LaPorta","TE","DET",1,100,9.854,9.125,3.55,15.7,3.55,15.7,0.01,1,9.854,3.55,15.7
"AddiJo00","Jordan Addison","WR","MIN",1,100,9.8344,8.05,2.425,18.32,2.425,18.32,0.03,1,9.8344,2.425,18.32
"LikeIs00","Isaiah Likely","TE","NYG",1,100,9.738,8.85,3.7975,13.775,3.7975,13.775,0.01,1,9.738,3.7975,13.775
"ShakKh00","Khalil Shakir","WR","BUF",1,100,9.691,8.2,2.37,18.09,2.37,18.09,0.01,1,9.691,2.37,18.09
"SwifDA00","D'Andre Swift","RB","CHI",1,100,9.652,7.9,3.2,14.23,3.2,14.23,0,1,9.652,3.2,14.23
"WaddJa00","Jaylen Waddle","WR","DEN",1,100,9.512,8.4,3.317,16.449,3.317,16.449,0.02,1,9.512,3.317,16.449
"WilsMi01","Michael Wilson","WR","ARI",1,100,9.443,7.65,2.3,17.245,2.3,17.245,0.04,1,9.443,2.3,17.245
"FannHa00","Harold Fannin Jr.","TE","CLE",1,100,9.427,7.95,3.3925,15.9575,3.3925,15.9575,0.08,1,9.427,3.3925,15.9575
"WarrTy00","Tyler Warren","TE","IND",1,100,9.3,9.1,3,13.3,3,13.3,0.04,1,9.3,3,13.3
"ConcKC00","KC Concepcion","WR","CLE",1,100,9.2722,7.25,2.1,17.45,2.1,17.45,0.03,1,9.2722,2.1,17.45
"TuckTr00","Tre Tucker","WR","LV",1,100,9.185,8,2.6,16,2.6,16,0.04,1,9.185,2.6,16
